Priority,Status Indicator,Create Date,Created By,Requestor,Status Notes,Maintenance Date,Time of Maintenance,Description of Maintenance,User Impact (What's Affected?),Responsible IT Area,Impact Category,Purpose / Desired Result,Purpose Group,Point of Contact,Task Summary,Emergency / Time Senstive
Immediate,Completed,09/21/17 11:05 AM,reichlingj@mwrd.org,John Reichling,Did not solve the problem,09/20/17,4:30 pm - 5:30 pm,Apply 183 MS patches to XENPRINT041,Network print queues on xenprint041,"Desktop Engineering (Citrix, SCCM)",Minor,to restore ability of users to update print drivers without requiring elevated credentials.  MS patch documentation indicated that print servers based on Windows Server 2008 R2 required a patch released in 2014.,Fix / Patch,John Reichling,Apply MS patches pending installation,
,Completed,09/05/17 4:19 PM,web-form@smartsheet.com,Roger Smith,,09/18/17,4:00 PM,apply os patches to SV-LSS,Local Sewers application will not be available while the system reboots,Multi-Team (Indicate groups in Additional Information),,OS patches for security,Fix / Patch,Raymond McCague,"1) apply patches
2) reboot
3) test application
...

BACK OUT PLAN: 
Restore from snapshot",
,Completed,08/25/17 11:44 AM,web-form@smartsheet.com,Kevin Pendergast,,09/15/17,5pm Friday until 8pm Saturday,Data switches and cabinets/racks will be replaced in MOBA 4&5 floors.,No data network connectivity for MOBA 4&5 floors.,Network Infrastructure,,Upgrade older network equipment for enhanced throughput and reliability to administrative data network users.,Enhancement,Kevin Pendergast,"1) Remove old data cabinets and switches from telecom closet.
2) Install new data rack and switches.
3) Connect to new fiber, power equipment and verify connectivity.
4) Patch user connections to new switches.
5) Verify connectivity.",
,Completed,07/21/17 12:31 PM,web-form@smartsheet.com,Ervin Cheng,,09/07/17,8 p.m. to 9 p.m.,monthly OS Patching of all operation servers during working hours and 2 after hours. KCSserver and sv-autocad-ls.,"FAX, SAP Fax, telephone management",Network Operations (Server / SAN),,critical and security patches,Fix / Patch,Ervin Cheng,"1)apply patch 
2)restart system
3)confirm patch
4) test system
...
BACK OUT PLAN: 
....
1)unapply patch
2) restart system
3) test system",
,Completed,09/05/17 3:11 PM,web-form@smartsheet.com,Patrick Kane,Ray will reboot the the server sv-lss and Patrick Kane will fix the users profile,09/05/17,4:00pm 09/05/2017,"Re-boot the server
Tomorrow Pat Kane will re-build the profile of  MWRD\JacksonC2",Most users who access the local sewers application will be impacted until the computer re-boots.,Multi-Team (Indicate groups in Additional Information),,The user: MWRD\JacksonC2 is having a problem opening a PDF file. Patrick tried to re-do his profile but it was locked.  The adobe reader is used in the local sewers application,Fix / Patch,Patrick Kane or Raymond McCague,"1) I will re-boot the server
2) Tomorrow Patrick Kane will fix the users profile
3)
...

BACK OUT PLAN: 
....",TRUE
,Completed,08/14/17 12:20 PM,web-form@smartsheet.com,Ervin Cheng,,08/31/17,4:30 pm. for no more than 10 minutes,"Changing the nic on the following servers: LF-DOC, MWRDNEPP2, and FTPMWRD.",Law users will not be able to use Legal Files after 4:30pm on 8/17 and the District's FTP site will be unavailable. MWRDNEPP2 will have no impact due to the fact that this server is used for load balancing.,Network Operations (Server / SAN),,VMWare recommends the NIC update,Fix / Patch,Kevin Young,See Ervin Cheng.,TRUE
,Follow-up (See Status Notes),12/12/16 3:17 PM,web-form@smartsheet.com,Kevin Young,"10/3 - E.C. -Scheduled for Oct5-6 ; Purchased software-load balancer ; March 2017 RP Requested Date Change for Additional Testing  ; Ervin/Tom to purchase external DNS for testing - 6/20/17; ;Purchased mwrdT2.com;testing of https to follow ; Confirmed Test; Ervin to meet with ERP/Dev group

Bob to follow up with Kevin - SAP team to change SAP Neteaver portal defualt landing page from index.html to MWRD home page.",08/31/17,7:00 pm 1 hour,Deployment of software Load balancer (F5),The District's,ERP / SAP,,To move the District's website off of the F5 appliance.,Preventive,Kevin Young,"From	              To	                Port
mwrdneppz1    alpha/beta	        389
	               mwrdnepp0	        1433
	               mwrdnepp1 	3200,3900,445,50013,8100,50100,50113
	               mwrdeccp0 	3300,3601
	               mwrdeccp1	        3300
		

UNC path to //mwrdnepp1/sapmnt",
,Completed,08/15/17 10:45 AM,web-form@smartsheet.com,Roger Smith,,08/28/17,4:30 - 5:00,apply OS patches to File Maker servers,File Maker will be unavailable,Multi-Team (Indicate groups in Additional Information),,apply OS patches to FS-1 FS-2 FS-3,Fix / Patch,Roger Smith,"1) apply patches
2) reboot server
3) verify application is running
...

BACK OUT PLAN: 
....",
,Completed,08/15/17 10:51 AM,web-form@smartsheet.com,Kevin Young,,08/26/17,10:00pm - 11:00pm,Monthly SAP Production Server Reboots and Patching,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots and Microsoft security patching,Preventive,Kevin Young,"""Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2

MWRDRDSP - patch and restart",
,Completed,08/25/17 11:40 AM,web-form@smartsheet.com,Kevin Pendergast,,08/25/17,5:00pm until 8:00pm Saturday 8/26/2017,Data switches and cabinets/racks will be replaced in MOBA 6&7 floors,No data network connectivity for MOBA 6&7 floors.,Network Infrastructure,,Upgrade older network equipment for enhanced throughput and reliability to administrative data network users.,Enhancement,Kevin Pendergast,"1) Remove old data cabinets and switches from telecom closet.
2) Install new data rack and switches.
3) Connect to new fiber, power equipment and verify connectivity.
4) Patch user connections to new switches.
5) Verify connectivity.",
,Completed,07/19/17 3:00 PM,web-form@smartsheet.com,Patrick Sendera,,08/24/17,5-7AM,MS Server  patches August,All GIS applications will experience disruptions during this time,GIS,,MS patches up to date,Fix / Patch,Patrick Sendera,"1) Patch Servers
2)Reboot
3) Verify applications
...

BACK OUT PLAN: 
....",
,Completed,06/02/17 9:17 AM,web-form@smartsheet.com,Ethan Warren,RESCHEDULED: No changes to MWRD equipment is needed. Network Team will put on Hold until MS Premier Support -- AUGUST 17th,08/17/17,5:00 pm - 7:00 pm,Test & Turn up of new internet circuit at MOB/MOBA.,"Internet and Email access for MOB employees will be interrupted.  Public access to our main website (mwrd.org), districtjobs.org, SAP Support VPN, gispub.mwrd.org, br.mwrd.org (Blue Ribbon FTP), apps.mwrd.org, and Granicus Encoding Services.",Network Infrastructure,,This will double our internet bandwidth to provide better response to our cloud-hosted services and a better internet browsing experience.,Enhancement,Ethan Warren,"1) Install new circuit - AT&T (Done)
2) Migrate all current IP information to new circuit (To be completed by AT&T engineer).
3) Physically move internet connection to new fiber delivery and test services.
...

BACK OUT PLAN: 
....
Reverse steps listed above.",
,Completed,08/01/17 4:13 PM,web-form@smartsheet.com,Roger Smith,,08/16/17,4:30 PM - 5:00 PM,apply OS patches to FILEHOLDD servers,"Scales, District Data Warehouse, Legal Files  will be unavailable during this time",Multi-Team (Indicate groups in Additional Information),,OS patches,Fix / Patch,Roger Smith,"1) make sure users are off the server
2) apply patches
3) re-boot server
...

BACK OUT PLAN: 
....",
,Completed,07/28/17 3:26 PM,web-form@smartsheet.com,Thomas McEnery,Tom will provide list of objects before deleting; E-mail to Support Ops Leads & Kevin Young,08/16/17,"Anytime, non business effecting",Delete inactive / disabled computer objects over 120 days.,N / A,Network Infrastructure,,AD cleanup,Security,Thomas McEnery,"1) 
2)
3)
...

BACK OUT PLAN: 
....",
,Completed,08/08/17 10:31 AM,web-form@smartsheet.com,Kevin Pendergast,,08/11/17,5:00 pm Friday until 8:00 pm Saturday (8/12/17),Data switches and cabinets/racks will be replaced on the MOB 3rd and 5th floors,No data network connectivity for 3rd and 5th floors MOB.,Network Infrastructure,,Upgrade older network equipment for enhanced throughput and reliability to administrative data network users.,New Implementation,Ethan Warren,"1) Pre-configure new switches
2) Pre-assemble new rack and install new switches.
3) Remove cable patch panel from existing rack and remove rack.
4) Set in place newly assembled rack and attach patch panel
5) Power on new switches and test LAN/WAN connectivity
...

BACK OUT PLAN: 
....
Place existing equipment back into production",
,Completed,07/21/17 12:07 PM,web-form@smartsheet.com,Ervin Cheng,District Wide Notification Needed,08/11/17,08/04/2017 from 8 p.m. to 12 p.m. 2 hour for the vmware converter and 2 hour for ip change.,Moved F5 from wsw-rvcenter to wsw-vcenter.  Stickney datacenter has fireeye and is needed for F5 security.  IP change and virtual appliance move to new vm host,"all 6 redirects will be taken down. biosolid, chloride, il, rainbarrel, stormwater, and watershed subdomain will be unavailable.",Network Operations (Server / SAN),,"Since the ucs and 3par is moving to another datacenter, we need to move the vm from the 3par and relocate to a vm environment that is in stickney vlans and stickney site.",Security,Ervin Cheng,"1) shutdown F5 appliance
2) vm converter and move to wsw-vcenter
3) confirm the move, startup appliance, and update the f5 appliance
4) change firewall redirect ips 
5) confirm ip change successfully
6) test all redirects
...

BACK OUT PLAN:
1) shutdown the server and turn on old vm appliance
2) firewall redirect back to old vm appliance 
....",
,Completed,08/01/17 10:30 AM,web-form@smartsheet.com,Kevin Young,Server won't be patched.  Batch jobs will be moved to a different server starting 8/11,08/11/17,1:00 pm,Install Microsoft Security Patches and Restart Precalprd Server.,No user impact if done between the hours of 7:00 am and 7:00 pm. This server runs scheduled interface jobs.,ERP / SAP,,To become up to date with the Microsoft Security patches,Preventive,Kevin Young,Install Microsoft Security Updates and Restart the Precalprd Server.,
,Completed,07/25/17 4:24 PM,web-form@smartsheet.com,Hussein Shamsuddin,Rolling end date is Sept 1 ; ~100 more as of 8/29,08/10/17,4:00 am,Upgrade PC Symantec 12.x clients to 14.0,None. Silent install. Reboot required but not forced.,"Desktop Engineering (Citrix, SCCM)",,Standardize on Symantec protection,Security,Sam Johnston,"1) Push already tested Symantec package to all workstations except Instrument machines
2) Schedule the push to start at 4:00 am on 8/10/17
3) Monitor and report on compliance results daily.


BACK OUT PLAN: 
Client install rollback",
,Completed,08/01/17 4:05 PM,web-form@smartsheet.com,Roger Smith,,08/09/17,4:30 PM - 5:00 PM,apply OS patches to MMS servers,MMS will be unavailable during this time,Multi-Team (Indicate groups in Additional Information),,OS patches,Fix / Patch,Roger Smith,"1) make sure users are off MMS
2) apply patches
3) re-boot server
...

BACK OUT PLAN: 
....",
,Completed,07/17/17 2:46 PM,web-form@smartsheet.com,Roger Smith,RESCHEDULED,08/09/17,4:30 PM - 5:00 PM,OS patching for MMS,MMS will be unavailable,Multi-Team (Indicate groups in Additional Information),,OS patches for security,Fix / Patch,Roger Smith,"1) apply patches
2) reboot servers
3) verify MMS is up


BACK OUT PLAN:",
,Completed,08/04/17 8:28 AM,web-form@smartsheet.com,Kevin Young,,08/04/17,8:15 am - 8:25 am,Restart District Portal.,District's website will not be available.,ERP / SAP,,Restart was needed because the user had changed the file name in regards to ServiceDesk  Incident # 5081.,Fix / Patch,Kevin Young,Restart District portal.,TRUE
,Completed,08/03/17 3:01 PM,web-form@smartsheet.com,Kevin Young,,08/03/17,10:00 pm - 10:15 pm,Restart of District Portal.,The District website will be unavailable during this period.,ERP / SAP,,This restart of the portal is necessary to correct ServiceDesk Issue #5081.,Fix / Patch,Kevin Young,Restart District portal.,TRUE
,Completed,08/01/17 3:17 PM,web-form@smartsheet.com,Kevin Young,,08/03/17,4:30 pm - 5:00 pm,Install Microsoft Security Patches and Restart Legal Files Server (lf-doc.mwrd.local).,Users will not be able to access Legal File documents during this period,ERP / SAP,,To become up to date with the Microsoft Security patches,Preventive,Kevin Young,Install Microsoft Security Updates and Restart the Legal File Production Server.,
,Completed,07/26/17 11:36 AM,web-form@smartsheet.com,Roger Smith,,08/02/17,4:30 pm - 5:00 PM,apply OS patches to FILEBOUND server,FILEBOUND will be unavailable,Multi-Team (Indicate groups in Additional Information),,apply OS patches for security,Fix / Patch,Roger Smith,"1) ensure users are off the system
2) apply patches
3) reboot
...

BACK OUT PLAN: 
....",
,Completed,07/26/17 11:35 AM,web-form@smartsheet.com,Roger Smith,,08/02/17,4:30 pm - 5:00 PM,apply OS patches to INSTEQUIPMGMTDB,INSTEQUIPMGMTDB will be unavailable,Multi-Team (Indicate groups in Additional Information),,apply OS patches for security,Fix / Patch,Roger Smith,"1) ensure users are off the system
2) apply patches
3) reboot
...

BACK OUT PLAN: 
....",
,Completed,07/05/17 11:33 AM,web-form@smartsheet.com,Kevin Young,,07/29/17,10:00pm - 12:00am,Monthly SAP Production Server Reboots,"SAP, PBF and the District Website will be unavailable during this rebooting exercise.",ERP / SAP,,Compliance with recommended Windows Server reboots,Preventive,Kevin Young,"""Server shutdown order
a. MWRDECCP0
b. MWRDECCP1
c. MWRDNBWP0
d. MWRDNDIP1
e. MWRDBOBP1
f. MWRDPBFP1
g. MWRDCEPP1
h. MWRDPRDDB
Server restart order
i. MWRDPRDDB
j. MWRDECCP0
k. MWRDECCP1
l. MWRDNBWP0
m. MWRDNDIP1
n. MWRDBOBP1
o. MWRDPBFP1
p. MWRDCEPP1
Server shutdown order
q. MWRDNEPP1
r. MWRDNEPP2
s. MWRDNEPP0
Server restart order
t. MWRDNEPP0
u. MWRDNEPP1
v. MWRDNEPP2

MWRDRDSP - patch and restart",
,Completed,06/20/17 1:56 PM,web-form@smartsheet.com,Roger Smith,Originally scheduled for 7/15. Rescheduling to 7/22 due to personnel schedules.Rescheduling again to 7/29 due to personnel schedules. 8/1 - PATCHES DONE.  VmWare Nic Needs to be changed Ervin to complete 8/5),07/29/17,2:30 pm,"apply patches to ipacs and LIMS servers: IPACPRDAPP, IPACFINAPP, LIMSPRDAPP, IMPRDAPP, ORADBPRD1A ; Add: VMWare NIC Change","iPacs, LIMS, Police DB, Purcon, TRMS",Multi-Team (Indicate groups in Additional Information),,apply OS patches,Fix / Patch,Roger Smith,"1) apply patches
2) reboot server
3) make sure applications are running after the reboot


BACK OUT PLAN: 
restore from snapshot",
,Completed,07/14/17 3:32 PM,web-form@smartsheet.com,Thomas McEnery,,07/28/17,"anytime, non service disrupting.","Upgrade to Azure AD Connect, MS releases numerous updates to this solution and quickly drops support from versions that are just a few months old.",non service disrupting,Network Operations (Server / SAN),,To catch up to the newest release of AD Connect and enable auto updates going forward.,Enhancement,Thomas McEnery,"1) Uninstall current version
2) Install newest version
3) Resync AD to Azure
...

BACK OUT PLAN: 
....",
,Completed,07/12/17 12:26 PM,web-form@smartsheet.com,Marque Shaffer,switch IP:  10.113.3.18   clock ip: 10.113.130.6,07/13/17,11:00 AM  duration 30 minutes,The TimeClock IWD TRLR has failed and will not light up.  The Cisco Switch CWRP_IWDConsTrl does not provide PoE to the clock either; so both devices must be replaced.,Everyone and everything in the IWD construction trailer will be down for about 30 minutes.,Network Infrastructure,,Bring the TimeClock in the CWRP IWD trailer to a working state.,Fix / Patch,Richard Wojkovich,"1) replace the TimeClock with the help of the CWRP trades 
2) replace the Cisco Switch in the trailer
3) test to see that they everyone is working
4) 
...

BACK OUT PLAN: replace the old switch and timeclock
....",TRUE
